No,분류,분류,분류,분류,2024년 6월,2024년 7월,2024년 8월,2024년 9월,2024년 10월,2024년 11월,2024년 12월,2025년 1월,2025년 2월,2025년 3월
30,서울,강남지역,서남권,강서구,94.06,94.38,94.84,95.12,95.31,95.40,95.48,95.51,95.58,95.68
31,서울,강남지역,서남권,구로구,95.27,95.83,96.40,96.75,96.87,96.90,96.82,96.75,96.72,96.75
32,서울,강남지역,서남권,금천구,94.21,94.47,94.78,95.03,95.15,95.24,95.22,95.19,95.18,95.21
33,서울,강남지역,서남권,영등포구,96.84,97.76,98.83,99.43,99.87,100.15,100.31,100.39,100.50,100.95
34,서울,강남지역,서남권,동작구,98.77,99.63,100.49,100.89,101.11,101.21,101.21,101.16,101.28,101.79
35,서울,강남지역,서남권,관악구,95.73,96.03,96.34,96.54,96.66,96.75,96.69,96.66,96.68,96.73
36,서울,강남지역,동남권,동남권,101.61,102.95,104.42,105.35,105.88,106.20,106.37,106.49,107.19,108.84
37,서울,강남지역,동남권,서초구,104.07,105.69,107.68,108.93,109.60,109.98,110.21,110.38,111.20,112.98
38,서울,강남지역,동남권,강남구,102.09,103.22,104.62,105.74,106.60,107.18,107.44,107.49,108.22,110.39
39,서울,강남지역,동남권,송파구,101.65,103.22,104.86,105.80,106.15,106.35,106.52,106.75,107.75,109.59
40,서울,강남지역,동남권,강동구,98.42,99.39,100.25,100.69,100.96,101.13,101.13,101.11,101.27,101.93
No,분류,분류,분류,분류,2024년 6월,2024년 7월,2024년 8월,2024년 9월,2024년 10월,2024년 11월,2024년 12월,2025년 1월,2025년 2월,2025년 3월
No,분류,분류,분류,분류,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수
1,전국,전국,전국,전국,95.75,95.90,96.13,96.30,96.37,96.37,96.30,96.21,96.15,96.17
2,수도권,수도권,수도권,수도권,95.36,95.75,96.26,96.64,96.85,96.95,96.95,96.89,96.88,97.03
3,지방권,지방권,지방권,지방권,96.10,96.02,95.98,95.95,95.89,95.81,95.68,95.55,95.46,95.34
4,6대광역시,6대광역시,6대광역시,6대광역시,91.74,91.65,91.65,91.64,91.55,91.43,91.24,91.04,90.88,90.72
5,5대광역시,5대광역시,5대광역시,5대광역시,91.05,90.87,90.76,90.68,90.55,90.41,90.23,90.04,89.89,89.72
6,9개도,9개도,9개도,9개도,97.48,97.57,97.74,97.89,97.97,97.98,97.93,97.85,97.78,97.73
7,8개도,8개도,8개도,8개도,99.86,99.85,99.88,99.88,99.88,99.84,99.75,99.66,99.61,99.54
8,서울,서울,서울,서울,97.12,97.86,98.67,99.20,99.53,99.73,99.82,99.85,100.04,100.56
9,서울,강북지역,강북지역,강북지역,95.69,96.29,96.95,97.43,97.74,97.94,98.02,98.04,98.08,98.30
10,서울,강북지역,도심권,도심권,99.73,100.49,101.22,101.77,102.17,102.47,102.64,102.76,102.93,103.37
11,서울,강북지역,도심권,종로구,99.30,99.79,100.22,100.53,100.75,100.97,101.09,101.15,101.24,101.48
12,서울,강북지역,도심권,중구,95.06,95.67,96.25,96.67,96.99,97.27,97.41,97.50,97.58,97.74
13,서울,강북지역,도심권,용산구,102.43,103.43,104.45,105.21,105.77,106.13,106.36,106.54,106.80,107.52
14,서울,강북지역,동북권,동북권,94.69,95.23,95.87,96.34,96.62,96.78,96.84,96.84,96.86,97.02
15,서울,강북지역,동북권,성동구,100.52,102.47,104.52,105.47,106.05,106.45,106.58,106.69,106.83,107.79
16,서울,강북지역,동북권,광진구,98.09,98.67,99.38,100.03,100.41,100.58,100.72,100.87,101.02,101.44
17,서울,강북지역,동북권,동대문구,96.26,96.96,97.65,98.12,98.41,98.57,98.63,98.63,98.62,98.70
18,서울,강북지역,동북권,중랑구,96.20,96.64,97.16,97.50,97.86,98.06,98.09,98.08,98.08,98.13
19,서울,강북지역,동북권,성북구,94.66,95.23,95.84,96.33,96.63,96.82,96.92,96.93,96.98,97.11
20,서울,강북지역,동북권,강북구,95.77,95.94,96.25,96.53,96.66,96.72,96.75,96.72,96.70,96.75
21,서울,강북지역,동북권,도봉구,91.09,91.23,91.47,91.72,91.81,91.94,91.96,91.92,91.88,91.92
22,서울,강북지역,동북권,노원구,90.19,90.51,91.03,91.50,91.71,91.83,91.84,91.76,91.69,91.68
23,서울,강북지역,서북권,서북권,96.51,97.22,97.88,98.35,98.72,98.96,99.06,99.09,99.15,99.42
24,서울,강북지역,서북권,은평구,96.03,96.49,96.86,97.19,97.46,97.65,97.73,97.73,97.71,97.77
25,서울,강북지역,서북권,서대문구,95.15,95.90,96.55,96.99,97.36,97.58,97.65,97.69,97.78,98.00
26,서울,강북지역,서북권,마포구,98.30,99.32,100.37,101.07,101.58,101.89,102.04,102.12,102.25,102.85
27,서울,강남지역,강남지역,강남지역,98.49,99.35,100.31,100.91,101.25,101.46,101.54,101.59,101.92,102.73
28,서울,강남지역,서남권,서남권,96.22,96.75,97.35,97.70,97.92,98.04,98.08,98.08,98.14,98.39
29,서울,강남지역,서남권,양천구,98.69,99.22,99.85,100.27,100.58,100.79,100.92,100.97,101.08,101.70
30,서울,강남지역,서남권,강서구,94.06,94.38,94.84,95.12,95.31,95.40,95.48,95.51,95.58,95.68
31,서울,강남지역,서남권,구로구,95.27,95.83,96.40,96.75,96.87,96.90,96.82,96.75,96.72,96.75
32,서울,강남지역,서남권,금천구,94.21,94.47,94.78,95.03,95.15,95.24,95.22,95.19,95.18,95.21
33,서울,강남지역,서남권,영등포구,96.84,97.76,98.83,99.43,99.87,100.15,100.31,100.39,100.50,100.95
34,서울,강남지역,서남권,동작구,98.77,99.63,100.49,100.89,101.11,101.21,101.21,101.16,101.28,101.79
35,서울,강남지역,서남권,관악구,95.73,96.03,96.34,96.54,96.66,96.75,96.69,96.66,96.68,96.73
36,서울,강남지역,동남권,동남권,101.61,102.95,104.42,105.35,105.88,106.20,106.37,106.49,107.19,108.84
37,서울,강남지역,동남권,서초구,104.07,105.69,107.68,108.93,109.60,109.98,110.21,110.38,111.20,112.98
38,서울,강남지역,동남권,강남구,102.09,103.22,104.62,105.74,106.60,107.18,107.44,107.49,108.22,110.39
39,서울,강남지역,동남권,송파구,101.65,103.22,104.86,105.80,106.15,106.35,106.52,106.75,107.75,109.59
40,서울,강남지역,동남권,강동구,98.42,99.39,100.25,100.69,100.96,101.13,101.13,101.11,101.27,101.93
